"","stem","total","density","timepoints","species","plantedyear","plantedtype","height","diameter"
"1",1.65,29.4774765935637,0.444444444444444,1,"corn","2015","monoculture",43,1.825
"2",1.525,25.8360809584579,0.444444444444444,1,"corn","2015","monoculture",57,1.45
"3",0.767,13.1312779902836,0.444444444444444,1,"corn","2015","monoculture",32,1.225
"4",1.435,19.5671947695788,0.444444444444444,1,"corn","2015","monoculture",42,1.4
"5",1.462,27.1262636052384,1.77777777777778,1,"corn","2015","monoculture",50,1.6
"6",1.258,21.2877478597343,1.77777777777778,1,"corn","2015","monoculture",41,1.5
"7",1.203,34.6518398076142,1.77777777777778,1,"corn","2015","monoculture",55,1.8
"8",1.394,28.3832670056549,1.77777777777778,1,"corn","2015","monoculture",42,1.8
"9",0.86,23.2096660532225,1.33333333333333,1,"corn","2015","monoculture",32,1.8
"10",1.258,26.3571087991869,1.33333333333333,1,"corn","2015","monoculture",38,1.8
"11",1.243,29.1085495022522,1.33333333333333,1,"corn","2015","monoculture",55,1.6
"12",1.252,24.953720857417,1.33333333333333,1,"corn","2015","monoculture",42,1.65
"13",1.065,27.447868208605,1.33333333333333,1,"corn","2015","monoculture",38,1.85
"14",0.952,24.2191482374096,1.33333333333333,1,"corn","2015","monoculture",38,1.7
"15",1.109,21.2655445347071,1.77777777777778,1,"corn","2015","monoculture",47,1.4
"16",1.587,28.5162823873701,1.77777777777778,1,"corn","2015","monoculture",57,1.55
"17",1.741,40.5735062919656,1.77777777777778,1,"corn","2015","monoculture",58,1.95
"18",1.662,32.9388216339819,1.77777777777778,1,"corn","2015","monoculture",65,1.6
"19",0.364,4.02573299146267,3.55555555555556,1,"corn","2015","monoculture",23,0.65
"20",0.579,9.01356344551309,3.55555555555556,1,"corn","2015","monoculture",32,0.95
"21",0.99,17.8153093868541,3.55555555555556,1,"corn","2015","monoculture",37,1.4
"22",0.534,5.99388020089579,3.55555555555556,1,"corn","2015","monoculture",26,0.8
"23",1.291,25.0643574232416,3.55555555555556,1,"corn","2015","monoculture",41,1.675
"24",1.244,20.6102717682897,3.55555555555556,1,"corn","2015","monoculture",42,1.45
"25",0.559,9.27095191891222,3.55555555555556,1,"corn","2015","monoculture",30,1
"26",2.016,34.1845045654083,3.55555555555556,1,"corn","2015","monoculture",54,1.8
"27",1.194,24.261566115572,2.22222222222222,1,"corn","2015","monoculture",43,1.6
"28",1,20.7116543338046,2.22222222222222,1,"corn","2015","monoculture",37,1.55
"29",1.038,24.8009467924543,2.22222222222222,1,"corn","2015","monoculture",35,1.8
"30",1.148,27.1195983097721,2.22222222222222,1,"corn","2015","monoculture",47,1.65
"31",1.083,19.5671947695788,2.22222222222222,1,"corn","2015","monoculture",42,1.4
"32",1.615,33.6284276364538,3.11111111111111,1,"corn","2015","monoculture",50,1.85
"33",1.251,22.3462970476685,3.11111111111111,1,"corn","2015","monoculture",41,1.55
"34",1.486,27.5454171241901,3.11111111111111,1,"corn","2015","monoculture",48,1.65
"35",0.615,6.66342493241256,3.11111111111111,1,"corn","2015","monoculture",30,0.8
"36",0.403,6.48667516771341,3.11111111111111,1,"corn","2015","monoculture",14,1.15
"37",0.317,5.21033582482567,3.11111111111111,1,"corn","2015","monoculture",17,0.9
"38",0.261,7.72975650762137,3.11111111111111,1,"corn","2015","monoculture",26,0.95
"39",0.693,11.1976466331506,3.55555555555556,1,"corn","2015","monoculture",32,1.1
"40",1.134,21.689847760839,3.55555555555556,1,"corn","2015","monoculture",45,1.45
"41",0.633,10.144081212633,3.55555555555556,1,"corn","2015","monoculture",28,1.1
"42",0.402,5.64916292046583,3.55555555555556,1,"corn","2015","monoculture",24,0.8
"43",1.263,23.1798413448106,3.55555555555556,1,"corn","2015","monoculture",46,1.5
"44",0.974,17.0975721808638,3.55555555555556,1,"corn","2015","monoculture",35,1.4
"45",0.687,12.2174234014724,3.55555555555556,1,"corn","2015","monoculture",36,1.1
"46",0.757,11.7114366324718,3.55555555555556,1,"corn","2015","monoculture",34,1.1
"47",0.329,4.36193970610512,6.66666666666667,1,"corn","2015","monoculture",12,0.95
"48",0.644,14.0054934611269,6.66666666666667,1,"corn","2015","monoculture",31,1.3
"49",0.833,14.1506313881014,6.66666666666667,1,"corn","2015","monoculture",34,1.25
"50",1.059,18.3883640866226,6.66666666666667,1,"corn","2015","monoculture",36,1.45
"51",0.589,8.1654942866132,6.66666666666667,1,"corn","2015","monoculture",28,0.95
"52",0.234,3.4691669261437,6.66666666666667,1,"corn","2015","monoculture",11,0.85
"53",0.397,6.54556235884578,6.66666666666667,1,"corn","2015","monoculture",17,1.05
"54",0.22,2.46202468767853,6.66666666666667,1,"corn","2015","monoculture",20,0.5
"55",0.868,13.8414546776142,6.66666666666667,1,"corn","2015","monoculture",33,1.25
"56",0.934,16.8817651159815,6.66666666666667,1,"corn","2015","monoculture",37,1.35
"57",0.556,9.27095191891222,6.66666666666667,1,"corn","2015","monoculture",30,1
"58",0.557,8.12720412333781,5.33333333333333,1,"corn","2015","monoculture",31,0.9
"59",0.537,7.78210447287878,5.33333333333333,1,"corn","2015","monoculture",37,0.8
"60",0.228,4.18481793373997,5.33333333333333,1,"corn","2015","monoculture",16,0.8
"61",0.847,13.2080945106693,5.33333333333333,1,"corn","2015","monoculture",40,1.1
"62",0.568,7.93237510203513,5.33333333333333,1,"corn","2015","monoculture",30,0.9
"63",0.839,16.8817651159815,5.33333333333333,1,"corn","2015","monoculture",37,1.35
"64",0.536,10.144081212633,5.33333333333333,1,"corn","2015","monoculture",28,1.1
