,stem,total,density,height,basediameter,timepoints,species,plantedyear,plantedtype
2,0.08,0.605,98,23,0.308,1,wheat,2011,mixture
3,0.034,0.339,98,23,0.269,1,wheat,2011,mixture
4,0.024,0.139,98,16.5,0.212,1,wheat,2011,mixture
5,0.024,0.113,98,17,0.202,1,wheat,2011,mixture
6,0.061,0.431,98,22,0.2665,1,wheat,2011,mixture
7,0.087,0.501,314,13,0.5045,1,corn,2011,mixture
8,0.096,0.842,314,17,0.5615,1,corn,2011,mixture
9,0.123,0.992,314,22,0.628,1,corn,2011,mixture
10,0.03,0.789,1045,21,0.3305,1,wheat,2011,mixture
11,0.023,0.278,1045,22.5,0.1835,1,wheat,2011,mixture
12,0.023,0.153,1045,17,0.2395,1,wheat,2011,mixture
13,0.034,0.222,1045,19.5,0.1845,1,wheat,2011,mixture
14,0.014,0.1,1045,16.5,0.1465,1,wheat,2011,mixture
15,0.043,0.312,268,14,0.307,1,corn,2011,mixture
16,0.062,0.426,268,15.5,0.4315,1,corn,2011,mixture
17,0.065,0.319,268,13,0.4315,1,corn,2011,mixture
18,0.02,0.096,5467,13.5,0.1635,1,wheat,2011,mixture
19,0.014,0.075,5467,11,0.146,1,wheat,2011,mixture
20,0.016,0.059,5467,11,0.14,1,wheat,2011,mixture
21,0.018,0.081,5467,14,0.1545,1,wheat,2011,mixture
22,0.023,0.109,5467,14,0.159,1,wheat,2011,mixture
23,0.031,0.123,83,11.5,0.273,1,corn,2011,mixture
24,0.034,0.22,83,13,0.2915,1,corn,2011,mixture
25,0.036,0.227,83,14,0.301,1,corn,2011,mixture
26,0.036,0.174,213,17,0.277,1,wheat,2011,mixture
27,0.072,0.528,213,18,0.274,1,wheat,2011,mixture
28,0.041,0.326,213,16,0.3015,1,wheat,2011,mixture
29,0.064,0.66,213,20.5,0.302,1,wheat,2011,mixture
30,0.04,0.289,213,21,0.27,1,wheat,2011,mixture
31,0.08,0.779,230,15,0.5295,1,corn,2011,mixture
32,0.103,0.616,230,16.5,0.513,1,corn,2011,mixture
33,0.077,0.687,230,17,0.602,1,corn,2011,mixture
34,0.014,0.099,1213,17,0.144,1,wheat,2011,mixture
35,0.023,0.184,1213,17.5,0.179,1,wheat,2011,mixture
36,0.018,0.083,1213,15,0.154,1,wheat,2011,mixture
37,0.018,0.109,1213,15.5,0.1715,1,wheat,2011,mixture
38,0.008,0.114,1213,10,0.215,1,wheat,2011,mixture
