,stem,total,density,height,basediameter,timepoints,species,plantedyear,plantedtype
2,0.038,0.149,512,8.5,0.189,1,flax,2011,mixture
3,0.011,0.074,512,8.5,0.1255,1,flax,2011,mixture
4,0.038,0.162,512,10,0.1965,1,flax,2011,mixture
5,0.017,0.033,512,4.5,0.107,1,flax,2011,mixture
6,0.01,0.061,512,8,0.1195,1,flax,2011,mixture
7,0.007,0.041,512,6,0.125,1,flax,2011,mixture
8,0.007,0.028,512,4,0.095,1,flax,2011,mixture
9,0.013,0.038,512,4.5,0.0945,1,flax,2011,mixture
10,0.008,0.036,512,6,0.0845,1,flax,2011,mixture
11,0.007,0.037,512,2.5,0.1185,1,flax,2011,mixture
12,0.055,0.352,142,12,0.43,1,corn,2011,mixture
13,0.051,0.484,142,11,0.4115,1,corn,2011,mixture
14,0.068,0.554,142,15,0.512,1,corn,2011,mixture
15,0.004,0.021,1047,4.5,0.0965,1,flax,2011,mixture
16,0.01,0.063,1047,8,0.1265,1,flax,2011,mixture
17,0.001,0.009,1047,3.5,0.0685,1,flax,2011,mixture
18,0.009,0.04,1047,7.5,0.105,1,flax,2011,mixture
19,0.011,0.058,1047,8.5,0.107,1,flax,2011,mixture
20,0.013,0.082,1047,10,0.1485,1,flax,2011,mixture
21,0.007,0.04,1047,7,0.097,1,flax,2011,mixture
22,0.001,0.012,1047,3,0.0815,1,flax,2011,mixture
23,0.004,0.024,1047,4.5,0.081,1,flax,2011,mixture
24,0.002,0.013,1047,2.5,0.0575,1,flax,2011,mixture
25,0.114,0.843,163,19.5,0.6005,1,corn,2011,mixture
26,0.036,0.377,163,9,0.39,1,corn,2011,mixture
27,0.07,0.284,163,14,0.3895,1,corn,2011,mixture
28,0.022,0.09,1718,12,0.133,1,flax,2011,mixture
29,0.026,0.098,1718,12.5,0.1465,1,flax,2011,mixture
30,0.11,0.149,1718,10,0.1085,1,flax,2011,mixture
31,0.015,0.07,1718,11,0.1135,1,flax,2011,mixture
32,0.005,0.07,1718,6.5,0.0805,1,flax,2011,mixture
33,0.016,0.065,1718,10,0.1145,1,flax,2011,mixture
34,0.007,0.031,1718,8.5,0.0935,1,flax,2011,mixture
35,0.011,0.056,1718,10,0.1035,1,flax,2011,mixture
36,0.011,0.039,1718,8,0.084,1,flax,2011,mixture
37,0.003,0.016,1718,5.5,0.079,1,flax,2011,mixture
38,0.061,0.379,290,13,0.462,1,corn,2011,mixture
39,0.086,0.595,290,15.5,0.511,1,corn,2011,mixture
40,0.034,0.406,290,11,0.3905,1,corn,2011,mixture
41,0.006,0.022,2755,6,0.085,1,flax,2011,mixture
42,0.011,0.038,2755,8.5,0.0995,1,flax,2011,mixture
43,0.007,0.025,2755,5.5,0.084,1,flax,2011,mixture
44,0.008,0.032,2755,7.5,0.0915,1,flax,2011,mixture
45,0.003,0.016,2755,4.5,0.0815,1,flax,2011,mixture
46,0.007,0.028,2755,7,0.0815,1,flax,2011,mixture
47,0.012,0.037,2755,8,0.102,1,flax,2011,mixture
48,0.004,0.015,2755,6,0.0815,1,flax,2011,mixture
49,0.005,0.025,2755,7,0.0805,1,flax,2011,mixture
50,0.008,0.027,2755,8,0.0915,1,flax,2011,mixture
51,0.086,0.534,450,16,0.4405,1,corn,2011,mixture
52,0.051,0.402,450,12,0.4065,1,corn,2011,mixture
53,0.041,0.316,450,13,0.3725,1,corn,2011,mixture
54,0.003,0.013,3513,4,0.0805,1,flax,2011,mixture
55,0.004,0.019,3513,5,0.087,1,flax,2011,mixture
56,0.004,0.01,3513,4,0.073,1,flax,2011,mixture
57,0.003,0.014,3513,3,0.0715,1,flax,2011,mixture
58,0.002,0.013,3513,4.5,0.0865,1,flax,2011,mixture
59,0.003,0.015,3513,5,0.076,1,flax,2011,mixture
60,0.001,1.006,3513,3,0.0745,1,flax,2011,mixture
61,0.006,0.018,3513,5.5,0.085,1,flax,2011,mixture
62,0.001,0.01,3513,3,0.073,1,flax,2011,mixture
63,0.001,0.01,3513,3,0.07,1,flax,2011,mixture
64,0.062,0.411,450,13.5,0.47,1,corn,2011,mixture
65,0.105,0.597,450,20,0.344,1,corn,2011,mixture
66,0.065,0.347,450,18,0.3415,1,corn,2011,mixture
67,0.019,0.077,310,8,0.129,1,flax,2011,mixture
68,0.005,0.014,310,4.5,0.0815,1,flax,2011,mixture
69,0.008,0.033,310,7,0.092,1,flax,2011,mixture
70,0.006,0.031,310,6,0.0975,1,flax,2011,mixture
71,0.009,0.051,310,7.5,0.118,1,flax,2011,mixture
72,0.002,0.016,310,4,0.0815,1,flax,2011,mixture
73,0.011,0.055,310,7.5,0.1115,1,flax,2011,mixture
74,0.01,0.052,310,7.5,0.1085,1,flax,2011,mixture
75,0.002,0.014,310,2.5,0.066,1,flax,2011,mixture
76,0.001,0.02,310,3.5,0.062,1,flax,2011,mixture
77,0.028,0.64,63,7.5,0.39,1,corn,2011,mixture
78,0.039,0.188,63,8,0.309,1,corn,2011,mixture
79,0.037,0.392,63,11,0.436,1,corn,2011,mixture
80,0.014,0.072,604,10,0.135,1,flax,2011,mixture
81,0.043,0.176,604,10.5,0.208,1,flax,2011,mixture
82,0.015,0.054,604,9,0.1375,1,flax,2011,mixture
83,0.016,0.086,604,8.5,0.1275,1,flax,2011,mixture
84,0.009,0.044,604,7.5,0.1195,1,flax,2011,mixture
85,0.022,0.102,604,7.5,0.1595,1,flax,2011,mixture
86,0.008,0.054,604,8,0.114,1,flax,2011,mixture
87,0.016,0.075,604,9,0.1375,1,flax,2011,mixture
88,0.012,0.052,604,7.5,0.1095,1,flax,2011,mixture
89,0.006,0.019,604,5,0.076,1,flax,2011,mixture
90,0.059,0.347,146,11,0.376,1,corn,2011,mixture
91,0.039,0.338,146,12,0.3625,1,corn,2011,mixture
92,0.031,0.423,146,8,0.3235,1,corn,2011,mixture
93,0.027,0.109,1116,13,0.148,1,flax,2011,mixture
94,0.007,0.027,1116,9,0.1035,1,flax,2011,mixture
95,0.017,0.067,1116,11.5,0.13,1,flax,2011,mixture
96,0.016,0.057,1116,10.5,0.1125,1,flax,2011,mixture
97,0.018,0.077,1116,12,0.1435,1,flax,2011,mixture
98,0.007,0.035,1116,9,0.0975,1,flax,2011,mixture
99,0.004,0.022,1116,8,0.097,1,flax,2011,mixture
100,0.005,0.02,1116,7.5,0.075,1,flax,2011,mixture
101,0.003,0.017,1116,5.5,0.0725,1,flax,2011,mixture
102,0.002,0.008,1116,2.5,0.062,1,flax,2011,mixture
103,0.047,0.285,266,10,0.373,1,corn,2011,mixture
104,0.085,0.648,266,14,0.484,1,corn,2011,mixture
105,0.092,0.312,266,14,0.414,1,corn,2011,mixture
106,0.007,0.023,1056,11,0.086,1,flax,2011,mixture
107,0.009,0.032,1056,10.5,0.1175,1,flax,2011,mixture
