,stem,total,density,height,basediameter,timepoints,species,plantedyear,plantedtype
2,0.015,0.077,194,7.5,0.1175,1,flax,2011,mixture
3,0.016,0.074,194,5,0.1295,1,flax,2011,mixture
4,0.013,0.048,194,5.5,0.1235,1,flax,2011,mixture
5,0.007,0.03,194,4,0.0935,1,flax,2011,mixture
6,0.001,0.011,194,2,0.086,1,flax,2011,mixture
7,0.038,0.299,131,15.5,0.228,1,wheat,2011,mixture
8,0.036,0.351,131,18,0.2305,1,wheat,2011,mixture
9,0.031,0.448,131,12,0.2625,1,wheat,2011,mixture
10,0.052,0.333,131,18.25,0.2695,1,wheat,2011,mixture
11,0.009,0.052,131,12,0.153,1,wheat,2011,mixture
12,0.007,0.042,518,5.5,0.122,1,flax,2011,mixture
13,0.003,0.012,518,3,0.099,1,flax,2011,mixture
14,0.005,0.023,518,4,0.0895,1,flax,2011,mixture
15,0.002,0.019,518,3.5,0.0965,1,flax,2011,mixture
16,0.007,0.024,518,4.5,0.096,1,flax,2011,mixture
17,0.068,0.715,46,16,0.2465,1,wheat,2011,mixture
18,0.063,0.56,46,19,0.247,1,wheat,2011,mixture
19,0.016,0.109,46,13,0.207,1,wheat,2011,mixture
20,0.016,0.119,46,13,0.17,1,wheat,2011,mixture
21,0.019,0.208,46,14.5,0.1665,1,wheat,2011,mixture
22,0.005,0.018,823,5,0.098,1,flax,2011,mixture
23,0.001,0.009,823,2.5,0.0695,1,flax,2011,mixture
24,0.002,0.013,823,3.5,0.0925,1,flax,2011,mixture
25,0.002,0.018,823,3.5,0.072,1,flax,2011,mixture
26,0.005,0.023,823,3.5,0.088,1,flax,2011,mixture
27,0.046,0.485,153,14,0.194,1,wheat,2011,mixture
28,0.019,0.362,153,14,0.1925,1,wheat,2011,mixture
29,0.078,0.682,153,20,0.212,1,wheat,2011,mixture
30,0.084,0.458,153,20,0.207,1,wheat,2011,mixture
31,0.013,0.073,153,12,0.1575,1,wheat,2011,mixture
32,0.009,0.034,1114,6,0.0915,1,flax,2011,mixture
33,0.003,0.036,1114,6,0.0925,1,flax,2011,mixture
34,0.007,0.022,1114,5.5,0.0945,1,flax,2011,mixture
35,0.009,0.035,1114,5,0.101,1,flax,2011,mixture
36,0.007,0.029,1114,4.5,0.0965,1,flax,2011,mixture
37,0.006,0.035,1114,6,0.0975,1,flax,2011,mixture
38,0.005,0.025,1114,5.5,0.098,1,flax,2011,mixture
