"","stem","total","density","timepoints","species","plantedyear","plantedtype","height","diameter"
"1",0.038,0.426730152521768,104.444444444444,1,"soybean","2016","monoculture",9,0.309
"2",0.039,0.49490237619686,104.444444444444,1,"soybean","2016","monoculture",11,0.301
"3",0.03,0.508143326737155,104.444444444444,1,"soybean","2016","monoculture",11,0.305
"4",0.051,0.36041565446816,104.444444444444,1,"soybean","2016","monoculture",7,0.322
"5",0.034,0.161907169033455,104.444444444444,1,"soybean","2016","monoculture",4,0.2855
"6",0.027,0.0850963474136073,104.444444444444,1,"soybean","2016","monoculture",3,0.239
"7",0.046,0.238490740803655,104.444444444444,1,"soybean","2016","monoculture",5.5,0.2955
"8",0.056,0.351020012227774,104.444444444444,1,"soybean","2016","monoculture",7.5,0.307
"9",0.061,0.560070755369318,104.444444444444,1,"soybean","2016","monoculture",9,0.354
"10",0.049,0.316446501914557,104.444444444444,1,"soybean","2016","monoculture",5,0.357
"11",0.03,0.273500190940438,109.333333333333,1,"soybean","2016","monoculture",7,0.2805
"12",0.05,0.283337545808546,109.333333333333,1,"soybean","2016","monoculture",7,0.2855
"13",0.056,0.432625116663076,109.333333333333,1,"soybean","2016","monoculture",8,0.33
"14",0.057,0.387957268587039,109.333333333333,1,"soybean","2016","monoculture",8,0.3125
"15",0.053,0.384304262946023,109.333333333333,1,"soybean","2016","monoculture",7,0.3325
"16",0.051,0.286801290375654,109.333333333333,1,"soybean","2016","monoculture",7.5,0.2775
"17",0.044,0.283763553926036,109.333333333333,1,"soybean","2016","monoculture",6.5,0.2965
"18",0.039,0.207300217872517,109.333333333333,1,"soybean","2016","monoculture",5.5,0.2755
"19",0.039,0.144210855147544,109.333333333333,1,"soybean","2016","monoculture",5,0.241
"20",0.044,0.149037664300397,109.333333333333,1,"soybean","2016","monoculture",5,0.245
"21",0.04,0.820638002804139,83.1111111111111,1,"soybean","2016","monoculture",8,0.4545
"22",0.05,0.75084070372239,83.1111111111111,1,"soybean","2016","monoculture",7.5,0.449
"23",0.05,0.500067484087921,83.1111111111111,1,"soybean","2016","monoculture",9,0.3345
"24",0.043,0.278646428589955,83.1111111111111,1,"soybean","2016","monoculture",5,0.335
"25",0.044,0.193742756274218,83.1111111111111,1,"soybean","2016","monoculture",6,0.255
"26",0.06,0.392903382359127,83.1111111111111,1,"soybean","2016","monoculture",9,0.2965
"27",0.058,0.392903382359127,83.1111111111111,1,"soybean","2016","monoculture",9,0.2965
"28",0.034,0.169788101950951,83.1111111111111,1,"soybean","2016","monoculture",5,0.2615
"29",0.031,0.191186893788767,83.1111111111111,1,"soybean","2016","monoculture",4.5,0.2925
"30",0.041,0.190512468873055,83.1111111111111,1,"soybean","2016","monoculture",5,0.277
"31",0.05,0.502166922606025,74.2222222222222,1,"soybean","2016","monoculture",10,0.318
"32",0.04,0.548914966519644,74.2222222222222,1,"soybean","2016","monoculture",11,0.317
"33",0.06,0.597884733082427,74.2222222222222,1,"soybean","2016","monoculture",9.5,0.356
"34",0.05,0.355608460434807,74.2222222222222,1,"soybean","2016","monoculture",7.5,0.309
"35",0.041,0.227790382750721,74.2222222222222,1,"soybean","2016","monoculture",6,0.2765
"36",0.03,0.0822717702056417,74.2222222222222,1,"soybean","2016","monoculture",3,0.235
"37",0.052,0.286801290375654,74.2222222222222,1,"soybean","2016","monoculture",7.5,0.2775
"38",0.037,0.205159500701035,74.2222222222222,1,"soybean","2016","monoculture",4.5,0.303
"39",0.051,0.288321400063723,74.2222222222222,1,"soybean","2016","monoculture",7,0.288
"40",0.049,0.308691329225246,74.2222222222222,1,"soybean","2016","monoculture",7,0.298
"41",0.05,0.325809617817544,84.4444444444444,1,"soybean","2016","monoculture",9,0.27
"42",0.06,0.455580765501441,84.4444444444444,1,"soybean","2016","monoculture",12,0.2765
"43",0.06,0.889351876899342,84.4444444444444,1,"soybean","2016","monoculture",11,0.4035
"44",0.039,0.207422688223064,84.4444444444444,1,"soybean","2016","monoculture",8,0.2285
"45",0.038,0.542010444455729,84.4444444444444,1,"soybean","2016","monoculture",11,0.315
"46",0.027,0.30423596587963,84.4444444444444,1,"soybean","2016","monoculture",11,0.236
"47",0.041,0.34382163581034,84.4444444444444,1,"soybean","2016","monoculture",7,0.3145
"48",0.032,0.354458555090715,84.4444444444444,1,"soybean","2016","monoculture",7.5,0.3085
"49",0.035,0.261637078398676,84.4444444444444,1,"soybean","2016","monoculture",9.5,0.2355
"50",0.037,0.241353244714198,84.4444444444444,1,"soybean","2016","monoculture",7,0.2635
"51",0.04,0.524518227129676,64.8888888888889,1,"soybean","2016","monoculture",10,0.325
"52",0.06,0.603602540416607,64.8888888888889,1,"soybean","2016","monoculture",9,0.3675
"53",0.06,0.455198891402826,64.8888888888889,1,"soybean","2016","monoculture",8,0.3385
"54",0.047,0.192226184756439,64.8888888888889,1,"soybean","2016","monoculture",6,0.254
"55",0.038,0.229621044473148,64.8888888888889,1,"soybean","2016","monoculture",4,0.34
"56",0.036,0.195635180793805,64.8888888888889,1,"soybean","2016","monoculture",3.5,0.3355
"57",0.033,0.187217997821377,64.8888888888889,1,"soybean","2016","monoculture",3,0.3545
"58",0.05,0.31214203842813,64.8888888888889,1,"soybean","2016","monoculture",7.5,0.2895
"59",0.05,0.288321400063723,64.8888888888889,1,"soybean","2016","monoculture",7,0.288
"60",0.046,0.236760016873616,64.8888888888889,1,"soybean","2016","monoculture",4.5,0.3255
"61",0.04,0.424794959592893,72.4444444444444,1,"soybean","2016","monoculture",8,0.327
"62",0.04,0.492231243847766,72.4444444444444,1,"soybean","2016","monoculture",8,0.352
"63",0.03,0.362366489834104,72.4444444444444,1,"soybean","2016","monoculture",8.5,0.293
"64",0.047,0.430260377446421,72.4444444444444,1,"soybean","2016","monoculture",9.5,0.302
"65",0.041,0.398221810962733,72.4444444444444,1,"soybean","2016","monoculture",9,0.2985
"66",0.06,0.314937875761638,72.4444444444444,1,"soybean","2016","monoculture",7,0.301
"67",0.043,0.295642060612216,72.4444444444444,1,"soybean","2016","monoculture",6,0.315
"68",0.043,0.230217567569327,72.4444444444444,1,"soybean","2016","monoculture",5,0.3045
"69",0.045,0.223463386706134,72.4444444444444,1,"soybean","2016","monoculture",5,0.3
"70",0.051,0.327425258103429,72.4444444444444,1,"soybean","2016","monoculture",6,0.3315
"71",0.06,0.510587023017112,79.1111111111111,1,"soybean","2016","monoculture",9,0.338
"72",0.05,0.492620566725939,79.1111111111111,1,"soybean","2016","monoculture",9,0.332
"73",0.05,0.569603703446202,79.1111111111111,1,"soybean","2016","monoculture",9,0.357
"74",0.051,0.449251661658294,79.1111111111111,1,"soybean","2016","monoculture",7,0.3595
"75",0.045,0.294359380772522,79.1111111111111,1,"soybean","2016","monoculture",7,0.291
"76",0.041,0.209534789666415,79.1111111111111,1,"soybean","2016","monoculture",5,0.2905
"77",0.044,0.25904124079627,79.1111111111111,1,"soybean","2016","monoculture",5,0.323
"78",0.037,0.157521257611841,79.1111111111111,1,"soybean","2016","monoculture",3.5,0.30105
"79",0.029,0.131409879186409,79.1111111111111,1,"soybean","2016","monoculture",3,0.297
"80",0.048,0.288181363008054,79.1111111111111,1,"soybean","2016","monoculture",6,0.311
"81",0.04,0.383682165706698,110.666666666667,1,"soybean","2016","monoculture",9,0.293
"82",0.05,0.202011894752953,110.666666666667,1,"soybean","2016","monoculture",8,0.2255
"83",0.06,0.426730152521768,110.666666666667,1,"soybean","2016","monoculture",9,0.309
"84",0.054,0.38054424317204,110.666666666667,1,"soybean","2016","monoculture",8,0.3095
"85",0.056,0.385478314750512,110.666666666667,1,"soybean","2016","monoculture",8,0.3115
"86",0.043,0.381067644082237,110.666666666667,1,"soybean","2016","monoculture",9,0.292
"87",0.051,0.339888618131149,110.666666666667,1,"soybean","2016","monoculture",6.5,0.3245
"88",0.04,0.228826507987081,110.666666666667,1,"soybean","2016","monoculture",4.5,0.32
"89",0.034,0.164343354460693,110.666666666667,1,"soybean","2016","monoculture",3.5,0.3075
"90",0.049,0.206105619851083,110.666666666667,1,"soybean","2016","monoculture",7,0.2435
"91",0.05,0.347892269691844,108,1,"soybean","2016","monoculture",9,0.279
"92",0.05,0.352414672053472,108,1,"soybean","2016","monoculture",11,0.254
"93",0.048,0.466503407550985,108,1,"soybean","2016","monoculture",10,0.3065
"94",0.049,0.350426344497092,108,1,"soybean","2016","monoculture",8,0.297
"95",0.052,0.478759132848557,108,1,"soybean","2016","monoculture",10,0.3105
"96",0.036,0.161275760819684,108,1,"soybean","2016","monoculture",5.5,0.243
"97",0.05,0.311193436351562,108,1,"soybean","2016","monoculture",6.5,0.3105
"98",0.044,0.468026682970366,108,1,"soybean","2016","monoculture",10,0.307
